classifier,PCA,accuracy,precision,recall,f1 score,duration,samples,tp,tn,fp,fn
AdaBoostClassifier,91,0.987590486,0.993362832,0.980349345,0.986813187,0.022916667,4832,,,,
MLPClassifier,91,0.99312152,0.887417219,0.744444444,0.809667674,7.435677083,45793,,,,
MLPClassifier,91,0.991726991,0.989130435,0.993449782,0.991285403,3.137239583,4832,,,,
gradient_boosti,91,0.998908178,0.982954545,0.961111111,0.971910112,3.212239583,45793,,,,
gradient_boosti,91,0.991726991,0.997787611,0.984716157,0.991208791,0.1078125,4832,,,,
18/03/2023 at 21:10,,,,,,,,,,,
DecisionTreeClassifier,91,0.998362267,0.955696203,0.949685535,0.952681388,0.002864583,45793,,,,
DecisionTreeClassifier,91,0.989658738,0.993166287,0.984198646,0.988662132,0.000260417,4832,,,,
LogisticRegression,91,0.957091386,0.281716418,0.949685535,0.434532374,0.003125,45793,,,,
LogisticRegression,91,0.97311272,0.990588235,0.9503386,0.970046083,0.003125,4832,,,,
Perceptron,91,0.984386942,0.608108108,0.283018868,0.386266094,0.003645833,45793,,,,
Perceptron,91,0.902792141,0.914489311,0.869074492,0.891203704,0.000260417,4832,,,,
RandomForestClassifier,91,0.99901736,0.993421053,0.949685535,0.971061093,0.026302083,45793,,,,
RandomForestClassifier,91,0.995863495,1,0.990970655,0.995464853,0.003385417,4832,,,,
GaussianNB,91,0.976853368,0.387234043,0.572327044,0.461928934,0.004427083,45793,,,,
GaussianNB,91,0.923474664,0.98938992,0.841986456,0.909756098,0,4832,,,,
AdaBoostClassifier,91,0.998908178,0.980645161,0.955974843,0.968152866,0.125,45793,,,,
AdaBoostClassifier,91,0.988624612,0.986486486,0.988713318,0.987598647,0.013541667,4832,,,,
MLPClassifier,91,0.993230702,0.870229008,0.716981132,0.786206897,5.167447917,45793,,,,
MLPClassifier,91,0.977249224,0.983908046,0.966139955,0.974943052,0.93984375,4832,,,,
gradient_boosti,91,0.99901736,0.993421053,0.949685535,0.971061093,1.1921875,45793,,,,
gradient_boosti,91,0.993795243,0.995464853,0.990970655,0.99321267,0.185677083,4832,,,,
DecisionTreeClassifier,91,0.998580631,0.962025316,0.955974843,0.958990536,0.044270833,45793,,,,
DecisionTreeClassifier,91,0.989658738,0.995423341,0.981941309,0.988636364,0.000260417,4832,,,,
LogisticRegression,91,0.957091386,0.281716418,0.949685535,0.434532374,0.003385417,45793,,,,
LogisticRegression,91,0.97311272,0.990588235,0.9503386,0.970046083,0.003385417,4832,,,,
Perceptron,91,0.984386942,0.608108108,0.283018868,0.386266094,0.004427083,45793,,,,
Perceptron,91,0.902792141,0.914489311,0.869074492,0.891203704,0,4832,,,,
RandomForestClassifier,91,0.999126542,1,0.949685535,0.974193548,0.024479167,45793,,,,
RandomForestClassifier,91,0.993795243,0.995464853,0.990970655,0.99321267,0.003385417,4832,,,,
GaussianNB,91,0.976853368,0.387234043,0.572327044,0.461928934,0.004166667,45793,,,,
GaussianNB,91,0.923474664,0.98938992,0.841986456,0.909756098,0.000260417,4832,,,,
AdaBoostClassifier,91,0.998908178,0.980645161,0.955974843,0.968152866,0.120052083,45793,,,,
AdaBoostClassifier,91,0.988624612,0.986486486,0.988713318,0.987598647,0.013541667,4832,,,,
MLPClassifier,91,0.991047058,0.834782609,0.603773585,0.700729927,5.5453125,45793,,,,
MLPClassifier,91,0.98655636,0.988636364,0.981941309,0.985277463,0.75390625,4832,,,,
gradient_boosti,91,0.99901736,0.980769231,0.962264151,0.971428571,0.87578125,45793,,,,
gradient_boosti,91,0.993795243,0.995464853,0.990970655,0.99321267,0.18671875,4832,,,,
DecisionTreeClassifier,91,0.998471449,0.955974843,0.955974843,0.955974843,0.045052083,45793,,,,
DecisionTreeClassifier,91,0.990692865,0.993181818,0.986455982,0.989807475,0.000260417,4832,,,,
LogisticRegression,91,0.957091386,0.281716418,0.949685535,0.434532374,0.005208333,45793,,,,
LogisticRegression,91,0.97311272,0.990588235,0.9503386,0.970046083,0.00078125,4832,,,,
Perceptron,91,0.984386942,0.608108108,0.283018868,0.386266094,0.001822917,45793,,,,
Perceptron,91,0.902792141,0.914489311,0.869074492,0.891203704,0.000260417,4832,,,,
RandomForestClassifier,91,0.999126542,1,0.949685535,0.974193548,0.025260417,45793,,,,
RandomForestClassifier,91,0.993795243,0.997722096,0.988713318,0.993197279,0.003125,4832,,,,
GaussianNB,91,0.976853368,0.387234043,0.572327044,0.461928934,0.004166667,45793,,,,
GaussianNB,91,0.923474664,0.98938992,0.841986456,0.909756098,0.000260417,4832,,,,
AdaBoostClassifier,91,0.998908178,0.980645161,0.955974843,0.968152866,0.121875,45793,,,,
AdaBoostClassifier,91,0.988624612,0.986486486,0.988713318,0.987598647,0.013541667,4832,,,,
MLPClassifier,91,0.992575609,0.793548387,0.773584906,0.78343949,5.423697917,45793,,,,
MLPClassifier,91,0.982419855,0.981900452,0.979683973,0.98079096,0.66640625,4832,,,,
gradient_boosti,91,0.99901736,0.980769231,0.962264151,0.971428571,0.848177083,45793,,,,
gradient_boosti,91,0.993795243,0.995464853,0.990970655,0.99321267,0.174479167,4832,,,,
DecisionTreeClassifier,91,0.998362267,0.981595092,0.930232558,0.955223881,0.004166667,45793,,,,
DecisionTreeClassifier,91,0.982419855,0.974576271,0.989247312,0.98185699,0.000260417,4832,,,,
LogisticRegression,91,0.942024238,0.240981241,0.970930233,0.386127168,0.003385417,45793,,,,
LogisticRegression,91,0.978283351,0.982608696,0.972043011,0.977297297,0.00078125,4832,,,,
Perceptron,91,0.977836008,0.441509434,0.680232558,0.535469108,0.001822917,45793,,,,
Perceptron,91,0.869700103,0.797891037,0.976344086,0.878143133,0,4832,,,,
RandomForestClassifier,91,0.998689813,0.99382716,0.936046512,0.964071856,0.025,45793,,,,
RandomForestClassifier,91,0.996897622,1,0.993548387,0.996763754,0.003125,4832,,,,
GaussianNB,91,0.973577902,0.375886525,0.61627907,0.466960352,0.004427083,45793,,,,
GaussianNB,91,0.926577042,0.997474747,0.849462366,0.917537747,0,4832,,,,
AdaBoostClassifier,91,0.998580631,0.987730061,0.936046512,0.96119403,0.128645833,45793,,,,
AdaBoostClassifier,91,0.990692865,0.99137931,0.989247312,0.990312164,0.013541667,4832,,,,
MLPClassifier,91,0.993885795,0.891891892,0.76744186,0.825,5.29140625,45793,,,,
MLPClassifier,91,0.983453981,0.976645435,0.989247312,0.982905983,0.854166667,4832,,,,
gradient_boosti,91,0.998362267,0.981595092,0.930232558,0.955223881,1.008072917,45793,,,,
gradient_boosti,91,0.992761117,0.995670996,0.989247312,0.992448759,0.155208333,4832,,,,
DecisionTreeClassifier,91,0.998143902,0.96969697,0.930232558,0.949554896,0.0390625,45793,,,,
DecisionTreeClassifier,91,0.985522234,0.982869379,0.987096774,0.984978541,0.000260417,4832,,,,
LogisticRegression,91,0.942024238,0.240981241,0.970930233,0.386127168,0.005729167,45793,,,,
LogisticRegression,91,0.978283351,0.982608696,0.972043011,0.977297297,0.002864583,4832,,,,
Perceptron,91,0.977836008,0.441509434,0.680232558,0.535469108,0.003645833,45793,,,,
Perceptron,91,0.869700103,0.797891037,0.976344086,0.878143133,0,4832,,,,
RandomForestClassifier,91,0.998908178,1,0.941860465,0.97005988,0.024479167,45793,,,,
RandomForestClassifier,91,0.995863495,0.997840173,0.993548387,0.995689655,0.003125,4832,,,,
GaussianNB,91,0.973577902,0.375886525,0.61627907,0.466960352,0.00390625,45793,,,,
GaussianNB,91,0.926577042,0.997474747,0.849462366,0.917537747,0.000260417,4832,,,,
AdaBoostClassifier,91,0.998580631,0.987730061,0.936046512,0.96119403,0.124739583,45793,,,,
AdaBoostClassifier,91,0.990692865,0.99137931,0.989247312,0.990312164,0.013802083,4832,,,,
MLPClassifier,91,0.996615351,0.898305085,0.924418605,0.911174785,5.465104167,45793,,,,
MLPClassifier,91,0.984488108,0.982832618,0.984946237,0.983888292,0.743229167,4832,,,,
gradient_boosti,91,0.998143902,0.987421384,0.912790698,0.948640483,0.891927083,45793,,,,
gradient_boosti,91,0.992761117,0.995670996,0.989247312,0.992448759,0.161979167,4832,,,,
DecisionTreeClassifier,91,0.998362267,0.98757764,0.924418605,0.954954955,0.038541667,45793,,,,
DecisionTreeClassifier,91,0.985522234,0.980810235,0.989247312,0.985010707,0.000260417,4832,,,,
LogisticRegression,91,0.942024238,0.240981241,0.970930233,0.386127168,0.00546875,45793,,,,
LogisticRegression,91,0.978283351,0.982608696,0.972043011,0.977297297,0.00078125,4832,,,,
Perceptron,91,0.977836008,0.441509434,0.680232558,0.535469108,0.0015625,45793,,,,
Perceptron,91,0.869700103,0.797891037,0.976344086,0.878143133,0,4832,,,,
RandomForestClassifier,91,0.998908178,0.993902439,0.947674419,0.970238095,0.025,45793,,,,
RandomForestClassifier,91,0.996897622,1,0.993548387,0.996763754,0.003385417,4832,,,,
GaussianNB,91,0.973577902,0.375886525,0.61627907,0.466960352,0.004427083,45793,,,,
GaussianNB,91,0.926577042,0.997474747,0.849462366,0.917537747,0.000520833,4832,,,,
AdaBoostClassifier,91,0.998580631,0.987730061,0.936046512,0.96119403,0.126822917,45793,,,,
AdaBoostClassifier,91,0.990692865,0.99137931,0.989247312,0.990312164,0.013541667,4832,,,,
MLPClassifier,91,0.991483786,0.797468354,0.73255814,0.763636364,5.505208333,45793,,,,
MLPClassifier,91,0.984488108,0.984913793,0.982795699,0.983853606,0.8640625,4832,,,,
gradient_boosti,91,0.998362267,0.981595092,0.930232558,0.955223881,1.036458333,45793,,,,
gradient_boosti,91,0.992761117,0.995670996,0.989247312,0.992448759,0.173177083,4832,,,,
DecisionTreeClassifier,91,0.99901736,0.95625,0.987096774,0.971428571,0.002864583,45793,,,,
DecisionTreeClassifier,91,0.998362267,0.964285714,0.947368421,0.955752212,0.002864583,45793,,,,
DecisionTreeClassifier,91,0.989658738,0.982646421,0.995604396,0.989082969,0.000520833,4832,,,,
LogisticRegression,91,0.960039306,0.313575526,0.959064327,0.472622478,0.004427083,45793,,,,
LogisticRegression,91,0.978283351,0.984375,0.969230769,0.976744186,0.003385417,4832,,,,
Perceptron,91,0.983622666,0.561403509,0.561403509,0.561403509,0.004427083,45793,,,,
Perceptron,91,0.908996898,0.864811133,0.956043956,0.908141962,0.000260417,4832,,,,
RandomForestClassifier,91,0.998471449,0.993710692,0.923976608,0.957575758,0.02734375,45793,,,,
RandomForestClassifier,91,0.997931748,0.997802198,0.997802198,0.997802198,0.003385417,4832,,,,
GaussianNB,91,0.972813626,0.357664234,0.573099415,0.440449438,0.004427083,45793,,,,
GaussianNB,91,0.934850052,0.985148515,0.874725275,0.926658906,0.000260417,4832,,,,
AdaBoostClassifier,91,0.998689813,0.970414201,0.959064327,0.964705882,0.122395833,45793,,,,
AdaBoostClassifier,91,0.994829369,0.993421053,0.995604396,0.994511526,0.0140625,4832,,,,
MLPClassifier,91,0.988426684,0.707006369,0.649122807,0.676829268,5.006770833,45793,,,,
MLPClassifier,91,0.989658738,0.986870897,0.991208791,0.989035088,0.84140625,4832,,,,
gradient_boosti,91,0.998798996,0.987804878,0.947368421,0.967164179,0.984895833,45793,,,,
gradient_boosti,91,0.995863495,0.997792494,0.993406593,0.995594714,0.15859375,4832,,,,
DecisionTreeClassifier,20,0.998580631,0.97515528,0.945783133,0.960244648,0.002864583,45793,,,,
DecisionTreeClassifier,20,0.983453981,0.982222222,0.982222222,0.982222222,0.000260417,4832,,,,
LogisticRegression,20,0.952833279,0.269097222,0.93373494,0.417789757,0.005208333,45793,,,,
LogisticRegression,20,0.978283351,0.990846682,0.962222222,0.97632469,0.002864583,4832,,,,
Perceptron,20,0.978054373,0.434944238,0.704819277,0.537931034,0.004166667,45793,,,,
Perceptron,20,0.834539814,0.958860759,0.673333333,0.791122715,0.000520833,4832,,,,
RandomForestClassifier,20,0.999126542,0.99375,0.957831325,0.975460123,0.025,45793,,,,
RandomForestClassifier,20,0.993795243,0.997757848,0.988888889,0.993303571,0.003385417,4832,,,,
GaussianNB,20,0.974778906,0.389830508,0.692771084,0.498915401,0.004427083,45793,,,,
GaussianNB,20,0.929679421,0.984771574,0.862222222,0.91943128,0,4832,,,,
AdaBoostClassifier,20,0.999235724,1,0.957831325,0.978461538,0.124479167,45793,,,,
AdaBoostClassifier,20,0.991726991,0.993303571,0.988888889,0.991091314,0.013541667,4832,,,,
MLPClassifier,20,0.990282782,0.834782609,0.578313253,0.683274021,5.218229167,45793,,,,
MLPClassifier,20,0.989658738,0.993273543,0.984444444,0.988839286,0.8765625,4832,,,,
gradient_boosti,20,0.998798996,0.987421384,0.945783133,0.966153846,1.04375,45793,,,,
gradient_boosti,20,0.995863495,1,0.991111111,0.995535714,0.14453125,4832,,,,
DecisionTreeClassifier,20,0.998362267,0.957575758,0.951807229,0.954682779,0.039322917,45793,,,,
DecisionTreeClassifier,20,0.984488108,0.986577181,0.98,0.983277592,0.000260417,4832,,,,
LogisticRegression,20,0.952833279,0.269097222,0.93373494,0.417789757,0.00546875,45793,,,,
LogisticRegression,20,0.978283351,0.990846682,0.962222222,0.97632469,0.002604167,4832,,,,
Perceptron,20,0.978054373,0.434944238,0.704819277,0.537931034,0.00390625,45793,,,,
Perceptron,20,0.834539814,0.958860759,0.673333333,0.791122715,0.000260417,4832,,,,
RandomForestClassifier,20,0.999126542,0.99375,0.957831325,0.975460123,0.023958333,45793,,,,
RandomForestClassifier,20,0.994829369,0.997762864,0.991111111,0.994425864,0.003125,4832,,,,
GaussianNB,20,0.974778906,0.389830508,0.692771084,0.498915401,0.004427083,45793,,,,
GaussianNB,20,0.929679421,0.984771574,0.862222222,0.91943128,0.000260417,4832,,,,
AdaBoostClassifier,20,0.999235724,1,0.957831325,0.978461538,0.12265625,45793,,,,
AdaBoostClassifier,20,0.991726991,0.993303571,0.988888889,0.991091314,0.013541667,4832,,,,
MLPClassifier,20,0.989955235,0.813559322,0.578313253,0.676056338,6.37421875,45793,,,,
MLPClassifier,20,0.977249224,0.986363636,0.964444444,0.975280899,0.909375,4832,,,,
gradient_boosti,20,0.998689813,0.987341772,0.939759036,0.962962963,1.01171875,45793,,,,
gradient_boosti,20,0.995863495,1,0.991111111,0.995535714,0.192708333,4832,,,,
DecisionTreeClassifier,20,0.998580631,0.969325153,0.951807229,0.960486322,0.039322917,45793,,,,
DecisionTreeClassifier,20,0.982419855,0.982182628,0.98,0.9810901,0.000260417,4832,,,,
LogisticRegression,20,0.952833279,0.269097222,0.93373494,0.417789757,0.006770833,45793,,,,
LogisticRegression,20,0.978283351,0.990846682,0.962222222,0.97632469,0.00078125,4832,,,,
Perceptron,20,0.978054373,0.434944238,0.704819277,0.537931034,0.001822917,45793,,,,
Perceptron,20,0.834539814,0.958860759,0.673333333,0.791122715,0,4832,,,,
RandomForestClassifier,20,0.999235724,0.99378882,0.963855422,0.978593272,0.024739583,45793,,,,
RandomForestClassifier,20,0.995863495,0.997767857,0.993333333,0.995545657,0.003125,4832,,,,
GaussianNB,20,0.974778906,0.389830508,0.692771084,0.498915401,0.0046875,45793,,,,
GaussianNB,20,0.929679421,0.984771574,0.862222222,0.91943128,0,4832,,,,
AdaBoostClassifier,20,0.999235724,1,0.957831325,0.978461538,0.12265625,45793,,,,
AdaBoostClassifier,20,0.991726991,0.993303571,0.988888889,0.991091314,0.013541667,4832,,,,
MLPClassifier,20,0.990828693,0.801470588,0.656626506,0.721854305,5.539322917,45793,,,,
MLPClassifier,20,0.987590486,0.993243243,0.98,0.986577181,0.734114583,4832,,,,
gradient_boosti,20,0.998798996,0.987421384,0.945783133,0.966153846,0.875520833,45793,,,,
gradient_boosti,20,0.995863495,1,0.991111111,0.995535714,0.153645833,4832,,,,
DecisionTreeClassifier,20,0.998908178,0.974522293,0.962264151,0.96835443,0.003125,45793,0,9002,157,0
DecisionTreeClassifier,20,0.98655636,0.986577181,0.984375,0.98547486,0.000260417,45793,0,520,447,0
LogisticRegression,20,0.944753794,0.232665639,0.949685535,0.373762376,0.003645833,45793,0,8510,649,0
LogisticRegression,20,0.976215098,0.98185941,0.966517857,0.974128234,0.001041667,45793,0,526,441,0
Perceptron,20,0.984496124,0.613333333,0.289308176,0.393162393,0.002083333,45793,0,9084,75,0
Perceptron,20,0.861427094,0.78649635,0.962053571,0.865461847,0,45793,0,419,548,0
RandomForestClassifier,20,0.999235724,1,0.955974843,0.977491961,0.026302083,45793,0,9007,152,0
RandomForestClassifier,20,0.995863495,0.997757848,0.993303571,0.995525727,0.003385417,45793,0,521,446,0
GaussianNB,20,0.976416639,0.388235294,0.622641509,0.47826087,0.004947917,45793,0,8904,255,0
GaussianNB,20,0.930713547,0.979848866,0.868303571,0.920710059,0.000260417,45793,0,570,397,0
AdaBoostClassifier,20,0.99901736,0.987012987,0.955974843,0.971246006,0.1234375,45793,0,9005,154,0
AdaBoostClassifier,20,0.992761117,0.993288591,0.991071429,0.992178771,0.0140625,45793,0,520,447,0
MLPClassifier,20,0.990064418,0.846938776,0.522012579,0.645914397,5.576822917,45793,0,9061,98,0
MLPClassifier,20,0.988624612,0.982339956,0.993303571,0.987791343,0.714583333,45793,0,514,453,0
gradient_boosti,20,0.999126542,0.993464052,0.955974843,0.974358974,0.861197917,45793,0,9006,153,0
gradient_boosti,20,0.996897622,0.997762864,0.995535714,0.996648045,0.1734375,45793,0,520,447,0
DecisionTreeClassifier,20,0.999126542,0.98089172,0.968553459,0.974683544,0.0390625,45793,0,9002,157,0
DecisionTreeClassifier,20,0.983453981,0.98,0.984375,0.982182628,0.000260417,45793,0,517,450,0
LogisticRegression,20,0.944753794,0.232665639,0.949685535,0.373762376,0.010416667,45793,0,8510,649,0
LogisticRegression,20,0.976215098,0.98185941,0.966517857,0.974128234,0.00234375,45793,0,526,441,0
